DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2022,201069434,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2023,234182255,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2024,253948443,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2012,179561171,b,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2013,189703526,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2014,203390499,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2015,217903102,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2016,233829980,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2017,254921856,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2018,265842274,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2019,275851859,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2020,101183504,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2021,135867032,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2022,265150155,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2023,301198690,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,European Union - 27 countries (from 2020),2024,320157012,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2012,32151653,b,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2013,33105024,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2014,34069260,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2015,37643614,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2016,40741630,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2017,45969645,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2018,49519854,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2019,52987666,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2020,17252852,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2021,28934633,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2022,54707450,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2023,65026598,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,Holiday and other short-stay accommodation,Italy,2024,74152177,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2012,296440999,b,
